Manufacturer Name,Model Number,Technology,Energy_Capacity_kWh,Max_Continuous_Discharge_kW,C_Rate,Certificate Date (mm/dd/yyyy)
"PYLON TECHNOLOGIES CO.,LTD",Force-H1-48/288V,LiFePO4,21.31,10.66,0.50,10/03/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/153.6V-L10,LiFePO4,22.73,22.73,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/153.6V-L15,LiFePO4,22.73,22.73,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/153.6V-E10,LiFePO4,22.732,11.366,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/153.6V-E15,LiFePO4,22.732,11.366,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M1-C-32/160V-L10,LiFePO4,23.68,23.68,1.00,24/12/2021
"PYLON TECHNOLOGIES CO.,LTD",Force-H1-48/336V,LiFePO4,24.86,12.43,0.50,10/03/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/192V-E10,LiFePO4,28.415,14.2075,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/192V-E15,LiFePO4,28.415,14.2075,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",Force-H1-48/384V,LiFePO4,28.42,14.21,0.50,10/03/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M1-C-32/192V-L10,LiFePO4,28.42,28.42,1.00,24/12/2021
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/192V-L10,LiFePO4,28.42,28.42,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/192V-L15,LiFePO4,28.42,28.42,1.00,01/12/2022
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/128V-E15,LiFePO4,31.36,15.68,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",Powercube-M5-180-64/128V-L15,LiFePO4,31.36,15.68,0.50,16/08/2023
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M1-C-32/224V-L10,LiFePO4,33.15,33.15,1.00,24/12/2021
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/230.4V-E10,LiFePO4,34.098,17.049,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-100-38.4/230.4V-E15,LiFePO4,34.098,17.049,0.50,19/11/2020
"PYLON TECHNOLOGIES CO.,LTD",PowerCube-M3A-180-38.4/230.4V-L10,LiFePO4,34.1,34.1,1.00,01/12/2022
